image_id,ctype,silver,sim,margin,twin,v1,v2,v3
G9emTgSa.png,line,lampung,0.8813958,0.18650776,xtXw0TeJ.png,lampung,lampung,lampung
hOmpjJmw.png,glyph,sunda,0.92841756,0.16693318,PHU3SvOb.png,sunda,sunda,sunda
08ir1p0K.png,line,lampung,0.9118,0.23380327,h3exH7tZ.png,lampung,lampung,lampung
NOBQTAfI.png,block,pegon,0.9242872,0.16866797,FBQDQBpe.png,pegon,pegon,pegon
rR8Jn0tX.png,line,lampung,0.92286193,0.38153714,0tfJxB1a.png,lampung,lampung,lampung
HAzZ4mgu.png,line,bali,0.8925773,0.17872751,3bpczjwB.png,bali,bali,bali
tcTkCXgy.png,line,sunda,0.9103538,0.27902037,KHGmYaNV.png,sunda,sunda,sunda
4X7I7UNx.png,line,lontara,0.85177636,0.1813944,Cx5C6rnG.png,lontara,lontara,lontara
Pt4L9F8V.png,line,lampung,0.8927166,0.27716595,60AwM4Fq.png,lampung,lampung,lampung
jTD8Zh8H.png,line,jawa,0.9264952,0.45039147,yUrGJcUt.png,jawa,jawa,jawa
Q2NwIzMD.png,block,pegon,0.87891555,0.1261208,SF44HsU7.png,pegon,pegon,pegon
LOM2Cl5C.png,block,pegon,0.8560933,0.19324285,3YQhv7gK.png,pegon,pegon,pegon
tQWUm1oA.png,line,jawa,0.9180726,0.41748846,4FK8CmTj.png,jawa,jawa,jawa
I29sCR8B.png,line,lampung,0.89310086,0.3564489,QSVdE7IT.png,lampung,lampung,lampung
P9JfVGGD.png,line,lampung,0.91399145,0.30288005,yb7nIkrc.png,lampung,lampung,lampung
dPgoqmRa.png,block,sunda,0.8962072,0.15790266,gvY2Mlhi.png,sunda,sunda,sunda
Whk8ayUq.png,line,sunda,0.8963485,0.28385633,KSS3erX3.png,sunda,sunda,sunda
oGT8HWEq.png,line,jawi,0.8687407,0.21296585,cVJQ8aSY.png,jawi,jawi,jawi
G7edH2Ra.png,block,pegon,0.86321187,0.19441587,IDpHW9DT.png,pegon,pegon,pegon
ZaYgfQQL.png,line,bali,0.8680322,0.4224996,K9owTuUE.png,bali,bali,bali
OQWkQ4vH.png,line,jawa,0.9098206,0.34951395,gS8V28Q0.png,jawa,jawa,jawa
WvFIkFHu.png,line,lampung,0.8866488,0.30332124,ptAschbP.png,lampung,lampung,lampung
h5xnSsJF.png,line,jawa,0.8589257,0.19056433,7bPfcRfE.png,jawa,jawa,jawa
Z6ZSedJs.png,block,pegon,0.8601731,0.20085943,IDpHW9DT.png,pegon,pegon,pegon
MgJkaaVi.png,line,sunda,0.9102732,0.35980672,jdCvJbl9.png,sunda,sunda,sunda
81HeWJBq.png,line,lampung,0.8827433,0.22259623,16KeE2XC.png,lampung,lampung,lampung
Ipz3NlA5.png,line,jawi,0.9519522,0.16269118,pIe2Shm6.png,jawi,jawi,jawi
0gywkqZS.png,line,bali,0.85993063,0.16512424,FDWa713g.png,bali,bali,bali
EVa764br.png,line,jawa,0.8853047,0.37163305,gllNr3XG.png,jawa,jawa,jawa
ZyABnADj.png,line,jawa,0.89864886,0.2618577,rriODEG0.png,jawa,jawa,jawa
YIMADrYw.png,line,lampung,0.8723215,0.18930137,C1AbFl1n.png,lampung,lampung,lampung
qmKWKSxE.png,line,jawa,0.8730411,0.15806228,alGxFTl1.png,jawa,jawa,jawa
K2sHB4Jk.jpg,block,lampung,0.85941607,0.1309889,x96FUfNK.jpg,lampung,lampung,lampung
ubtIWQXy.png,block,pegon,0.8815135,0.1278553,hNpRq8k6.png,pegon,pegon,pegon
XRQyv1Zd.png,line,lampung,0.86683685,0.1971466,PzgGMHjn.png,lampung,lampung,lampung
WUWpvdeZ.png,line,lampung,0.8809187,0.3114379,z62bzXr7.png,lampung,lampung,lampung
ro26fXD7.png,line,lampung,0.89110875,0.2505113,mMIK1gKF.png,lampung,lampung,lampung
h2iLpucQ.png,glyph,sunda,0.9128299,0.15900505,TlENSHA8.png,sunda,sunda,sunda
wp6wkjKx.png,line,bali,0.89460045,0.15571189,YObQP7mc.png,bali,bali,bali
wYewV5up.png,line,jawi,0.9317081,0.14863288,gGNLaVqC.png,jawi,jawi,jawi
NY6h9a11.png,line,sunda,0.8814447,0.30936342,1JSBews8.png,sunda,sunda,sunda
eKyhXzpC.png,line,bali,0.8796154,0.1952936,nbFy3gmG.png,bali,bali,bali
p9MS8QOZ.png,block,pegon,0.882395,0.17949033,3YQhv7gK.png,pegon,pegon,pegon
cXMgNAwJ.png,block,pegon,0.93945634,0.1327396,3q0rYDno.png,pegon,pegon,pegon
MbkiEXjb.png,line,jawi,0.8615407,0.44756627,I0e6a2ip.png,jawi,jawi,jawi
QaGkv1XE.png,line,jawi,0.90135413,0.2323615,3Q4CXWh2.png,jawi,jawi,jawi
2jgQzL0Z.png,line,lampung,0.92568004,0.34839487,QSVdE7IT.png,lampung,lampung,lampung
lcZIlQln.png,line,jawi,0.91787577,0.2814768,qGn7QPCU.png,jawi,jawi,jawi
w2cIWsFj.png,block,pegon,0.89228684,0.14448613,Oez2NizN.png,pegon,pegon,pegon
PPx6NNeK.png,line,jawi,0.9205581,0.1719805,bkznjpsi.png,jawi,jawi,jawi
PJdnk3lm.png,line,lontara,0.87152356,0.20242184,FSrLvwHc.png,lontara,lontara,lontara
Q6XCuJlD.png,block,pegon,0.85143876,0.1832698,3YQhv7gK.png,pegon,pegon,pegon
idfEwQVG.png,block,pegon,0.8720188,0.20173854,IDpHW9DT.png,pegon,pegon,pegon
Ug2YwR91.png,line,lampung,0.8921711,0.2123856,gpcToES9.png,lampung,lampung,lampung
6bCoahIm.png,block,pegon,0.9311557,0.1550895,F2izSnYq.png,pegon,pegon,pegon
5xvOZlms.png,block,pegon,0.86567473,0.102374196,zgOgt2be.png,pegon,pegon,pegon
2L07gdL9.png,block,pegon,0.8650847,0.24641967,3YQhv7gK.png,pegon,pegon,pegon
DDxkeTH4.png,line,jawi,0.9466531,0.29979706,2XWwj13J.png,jawi,jawi,jawi
DL5cetUZ.png,block,pegon,0.93151355,0.17615187,BcbSC01R.png,pegon,pegon,pegon
oKJuL12U.png,line,jawi,0.867713,0.1545285,b9hk8Iir.png,jawi,jawi,jawi
d7fok4Jf.png,block,pegon,0.8969722,0.18425745,loFIcWQV.png,pegon,pegon,pegon
ERrLQ3NB.png,line,jawa,0.85009396,0.40200794,8V7Dp51C.png,jawa,jawa,jawa
6nVTYWdq.png,line,lampung,0.902141,0.36974716,2Z5KwPmp.png,lampung,lampung,lampung
ceQacvZu.png,line,lampung,0.85921437,0.21758449,PzgGMHjn.png,lampung,lampung,lampung
tmI3uCUC.png,line,jawi,0.8810591,0.10951489,Wfsqr4mk.png,jawi,jawi,jawi
Jb6p2XUL.png,block,jawi,0.90521854,0.1006099,LkEMHDv3.png,jawi,jawi,jawi
3TzdfqFP.png,line,bali,0.9106914,0.17619109,k7EpqbzA.png,bali,bali,bali
czonWT2R.png,block,lampung,1.0,0.20849586,HrgEozJY.png,lampung,lampung,lampung
tTqyYtRU.png,line,lontara,0.9092242,0.23442417,Z1un6yl6.png,lontara,lontara,lontara
qKE9HlEW.png,line,jawa,0.8629474,0.4367758,8V7Dp51C.png,jawa,jawa,jawa
vNdb2CIb.png,line,jawi,0.90602505,0.14174771,s1YcGI2I.png,jawi,jawi,jawi
lP6F45t9.png,line,lontara,0.9010513,0.2030766,ucv8CliR.png,lontara,lontara,lontara
sOsQCyDE.png,line,bali,0.91291267,0.2195695,ODB5WupS.png,bali,bali,bali
EbTdvepg.png,block,pegon,0.92454576,0.18347597,6KVqgrdM.png,pegon,pegon,pegon
l231HyFQ.png,line,lampung,0.8913137,0.1674434,KgLrlvQi.png,lampung,lampung,lampung
vsk9QtTb.png,line,lampung,0.86742544,0.21831238,jwXtZIPo.png,lampung,lampung,lampung
Bd663sGX.png,line,bali,0.92683816,0.2164315,Ke1EtMqj.png,bali,bali,bali
9lfnHqnq.png,line,sunda,0.8956661,0.15331149,0AGadw2m.png,sunda,sunda,sunda
FycvTEy1.png,line,jawa,0.9153974,0.37831783,TXWQkfQ4.png,jawa,jawa,jawa
arezgmsE.png,line,jawa,0.86665714,0.24210584,Kz7831AM.png,jawa,jawa,jawa
1XZHKujf.png,line,lampung,0.88179135,0.28486216,zng5Ob2d.png,lampung,lampung,lampung
4nHzJCWR.png,line,jawa,0.8785182,0.30505192,ghORLgLJ.png,jawa,jawa,jawa
hND1kQVy.png,line,jawa,0.8557309,0.13648033,YapID8rH.png,jawa,jawa,jawa
QEsx1HUL.png,line,lampung,0.8901608,0.24621755,TVGT0l15.png,lampung,lampung,lampung
5DCOY2zY.png,block,sunda,0.9325047,0.2122792,P4GmIvf9.png,sunda,sunda,sunda
8H61GdWM.png,line,bali,0.9005953,0.2620721,KxxJsUIA.png,bali,bali,bali
